Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Ground,Summary
10/24/2004,16:30,"Martinsville, Virginia",Private - Hendrick Motorsports Inc.,,"Concord, NC - Martinsville, VA",Beech 200 Super King Air,N501RH,BB-805,10.0,0.0,"The plane struck a steep incline in the Bull Mountain area seven miles from the Blue Ridge Regional Airport in heavy fog. Wreckage was confined to an area of approximately 200 ft. long. Killed in the crash were members of the Hendrick Motorsports racing team including the son, brother and two nieces of owner Rick Hendrick. Failure of the crew to properly execute the published instrument approach procedure. A contributing cause was the crew's failure to use all navigational aids to confirm and monitor their position during the approach."
08/09/1954,00:08,"Terceira Island, Azores, Portugal",AVIANCA,,"Lajes, Azores - Bermuda",Lockheed 749A-79 Constellation,HK-163,2664,30.0,0.0,"Crashed into mountains after poor weather diverted the flight from Santa Maria. Flew opposite to prescribed course after takeoff. Crew error. The failure of the pilot to carry out the normal climb out procedure following takeoff on a flight to Bermuda and his having made a turn to the left instead of to the right, thus flying into the mountains instead of turning out to sea."
12/02/1977,,"Near Al Bayda, Lebanon",Balkan Bulgarian Airlines,,Jeddah - Benghazi,Tupolev TU-154B,LZ-BTN,054,165.0,0.0,"After not being able to land at the scheduled airport due to fog, the crew could not find the alternate airport, ran out of fuel and crashed."
11/02/1988,,"Near Rzeszow, Poland",LOT Polish Airlines,703,Warszawa - Rzeszow,Antonov AN-24B,SP-LTD,67302209,29.0,0.0,"The plane attempted to make an emergency landing due to engine failure, struck a ditch and caught fire."
08/15/1957,,"Copenhagen, Denmark",Aeroflot,,Riga - Copenhagen,Ilyushin IL-14P,CCCP-L1874,146000607,23.0,0.0,Crashed into the harbor after hitting the chimney of a factory.
11/20/1964,21:14,"Angelholm, Sweden",Linjefyg,,,Convair CV-440,SE-CCK,195,43.0,0.0,Descended prematurely struck the ground 2 km short of  the runway. Crew mistook lights perpendicular to the runway for runway lights and descended prematurely.
04/16/1972,22:10,Near Ardinello di Amaseno,Aero Transporti Italiani,,Rome - Foggia,Fokker F-27 Friendship 200,I-ATIP,10251,18.0,0.0,Crashed into high ground while en route in thunderstorm activity. Loss of control due to downdrafts and updrafts in thunderstorm activity.
12/03/1969,,"Off Caracas, Venezuela",Air France,212,"Caracas - Pointe a Pitre, Guadeloupe",Boeing B-707-328B,F-BHSZ,18459/335,62.0,0.0,"At a height of 3,000 ft., the aircraft suddenly nosed  into the sea, 3 minutes after taking off."
04/02/1993,,"Off Margarita Island, Venezuela",Linea Aeropostal Venezolana,,Test,McDonnell Douglas DC-9-15,YV-03C,4700/83,11.0,0.0,Crashed into the sea after departing Caracas on a test flight.
01/15/2000,13:10,"San Jose, Costa Rica",TACA,,San Jose - Tortuguero,Let 410UVP-E,YS-09-C,861620,20.0,0.0,The aircraft was not able to maintain altitude after taking off and crashed into a house. The aircraft was overloaded. Lack of safety instruction to passengers. Flaps not properly selected. Took off with out clearance.
07/21/1997,13:08,"Near Ranong, Thailand",Singapore Airlines,,Phuket - Ranong,Learjet 31,9V-ATD,31-033B,2.0,0.0,On a training flight the instructor misread the Ranong DME and causing the trainee pilot to descend below minimum altitude in poor weather conditions. The aircraft  flew into high terrain.
09/20/1989,23:21,"La Guardia Airport, New York, New York",USAir,5050,"New York City - Charlotte, NC",Boeing B-737-401,N416US,23884/1643,63.0,0.0,"During an aborted takeoff,  the aircraft overran the runway, hit a wooden approach lighting pier and came to rest partially submerged in shallow water in Bowery Bay. The failure of the captain to exercise his authority in a timely manner to reject or continue the troubled takeoff which was initiated by a mistrimmed rudder."
08/07/1994,13:55,"Kodiak, Alaska",Air Taxi - Uyak Air Services Inc.,,Sightseeing,de Havilland DHC-2,N126UA,,7.0,0.0,Continued VFR flight into IMC.
08/20/1968,01:30,"Near Maturin, Venezuela",Linea Aeropostal Venezolana,,,Hawker Siddeley HS-748-215-2,YV-C-AMY,1580,7.0,0.0,The plane crashed while returning to the airport for an emergency landing after the No. 1 engine failed on takeoff.
01/18/1939,,"Katherine, Australia",Guinea Airways,,Katherine - Adelaide,Lockheed 14 Electra,VH-ABI,,4.0,0.0,Crashed into the Katherine River during a storm.
03/04/1967,02:56,"Monrovia, Liberia",Varig,837,Rome - Monrovia,McDonnell Douglas DC-8-33,PP-PEA,45253/5,90.0,5.0,Crashed on short of  the runway during approach. Crew error. The failure of the pilot to arrest the fast descent at a low altitude upon which he had erroneously decided after coming in too high.
04/04/1955,15:55,"Islip, New York",United Air Lines,,Training,Douglas DC-6,N37512,43001/32,3.0,0.0,"Suddenly dove into the ground. Unintentional movement of no.4 throttle into the reverse range just before breaking ground, with the other three engines operating at high power output, which resulted in the aircraft very quickly becoming uncontrollable once airborne."
05/29/1935,,"San Barbra, Honduras",,,,,,,9.0,0.0,Crashed into the Ulua River.
11/30/1961,,"Sydney, NSW, Australia",Ansett ANA,,Sydney - Canberra,Vickers Viscount 720,VH-TVC,046,15.0,0.0,"Crashed 9 minutes after taking off, into Botan Bay, 3 miles south of the airport . In-flight structural failure due to turbulence."
04/06/1994,,"Ambato, Ecuador",TAME,,Taura - Latacunga,de Havilland Canada DHC-6 Twin Otter 300,FAE450,436,17.0,0.0,"Struck Mt. Lozan, at 13,400 ft. which was obscured by clouds 47 minutes after taking off."
10/17/1971,,"San Vicente del Caguan, Colombia",Aerolineas TAO,,,Douglas C-47A,HK- 595,19348,22.0,0.0,"The aircraft crashed and burned short of the runway. A girl, 6, and a boy 3, were the only survivors."
01/12/1938,,"North Pine, Ontario, Canada",General Airways,,Sioux Lookout - Hudson,Stinson Reliant,CF-BEI,,1.0,0.0,Crashed in rugged terrain while en route.
11/08/1965,19:02,"Cincinnati Airport, near Covington, Kentucky",American Airlines,383,New York City - Cincinnati,Boeing B-727-23,N1996,18901/153,62.0,0.0,"The aircraft crashed short of runway during a visual approach in deteriorating weather conditions. Failure of the flight crew to properly monitor the aircraft's height during the approach into deteriorating weather conditions resulting in an excessive sink rate. Excessive sink rate is thought to have caused four 727 accidents in succession.  Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected."
11/23/1950,,"Cuzco, Peru",Faucett,,Maldorado - Quincemil,Douglas DC-3,OB-PAU-201,15992/32740,9.0,0.0,Crashed into a hill in poor weather conditions while en route.
11/03/1977,,"Belgrade, Yugoslavia",El Al,,,Boeing B-747,,,,0.0,Explosive decompression.
06/20/1973,,"Near Puerto Vallarta, Mexico",Aeromexico,,Houston - Puerto Vallarta,McDonnell Douglas DC-9-15,XA-SOC,47100/153,27.0,0.0,"The aircraft hit high ground during an approach, 32 kms from the airport."
01/16/1987,08:11,"Tashkent, Uzbekistan",Aeroflot,,,Yakovlev YAK-40,CCCP-87618,9131918,9.0,0.0,"While taking off, the aircraft banked sharply to the left and crashed. Encounted a wake vortex from another aircraft."
